Date,Close,High,Low,Open,Volume,Moving average - 20,Moving average - 50,Signal,Profit/Lost
2025-11-17,20.950000762939453,20.950000762939453,19.0,19.200000762939453,68291,19.175499820709227,18.926199913024902,1,1.7900009155273438
2025-11-18,19.6200008392334,20.700000762939453,19.5,20.700000762939453,12065,19.2064998626709,18.938999938964844,1,-1.3299999237060547
2025-11-19,19.219999313354492,19.899999618530273,19.219999313354492,19.600000381469727,8970,19.214499855041502,18.949399909973145,1,-0.40000152587890625
2025-11-20,19.219999313354492,19.780000686645508,19.200000762939453,19.200000762939453,7565,19.227499866485594,18.969399909973145,1,0.0
2025-11-21,20.0,20.299999237060547,19.100000381469727,19.200000762939453,58034,19.277499866485595,19.01139991760254,1,0.7800006866455078
2025-11-24,22.0,23.200000762939453,20.0,20.200000762939453,151650,19.427499866485597,19.08739990234375,1,2.0
2025-11-25,20.850000381469727,22.399999618530273,20.850000381469727,22.399999618530273,56596,19.51999988555908,19.130399894714355,1,-1.1499996185302734
2025-11-26,21.200000762939453,22.700000762939453,21.0,21.700000762939453,53122,19.631999969482422,19.180399894714355,1,0.35000038146972656
2025-11-27,21.799999237060547,22.450000762939453,21.25,22.399999618530273,21189,19.763999938964844,19.240799865722657,1,0.5999984741210938
2025-11-28,21.100000381469727,21.549999237060547,20.200000762939453,21.5,21990,19.863999938964845,19.28439987182617,1,-0.6999988555908203
2025-12-01,22.049999237060547,22.100000381469727,21.149999618530273,21.799999237060547,12300,20.008499908447266,19.351399841308595,1,0.9499988555908203
2025-12-02,22.100000381469727,22.450000762939453,21.450000762939453,22.049999237060547,24382,20.16049995422363,19.4193998336792,1,0.05000114440917969
2025-12-03,21.399999618530273,22.0,20.75,22.0,17149,20.251499938964844,19.472999839782716,1,-0.7000007629394531
2025-12-04,21.299999237060547,21.600000381469727,20.5,21.399999618530273,9840,20.362499904632568,19.524999809265136,1,-0.10000038146972656
2025-12-05,20.700000762939453,21.200000762939453,20.350000381469727,21.200000762939453,4764,20.438499927520752,19.564599838256836,1,-0.5999984741210938
2025-12-08,20.200000762939453,20.700000762939453,19.940000534057617,20.399999618530273,10741,20.494499969482423,19.590999870300294,1,-0.5
2025-12-09,19.600000381469727,20.649999618530273,19.600000381469727,20.5,13830,20.526500034332276,19.6089998626709,1,-0.6000003814697266
2025-12-10,20.0,20.0,19.780000686645508,19.84000015258789,3066,20.576500034332277,19.629799880981444,1,0.39999961853027344
2025-12-11,20.149999618530273,20.399999618530273,19.84000015258789,20.0,4683,20.63100004196167,19.65879985809326,1,0.14999961853027344
2025-12-12,20.149999618530273,20.200000762939453,19.81999969482422,20.149999618530273,5701,20.680500030517578,19.685399856567383,1,0.0
2025-12-15,20.850000381469727,21.350000381469727,20.200000762939453,20.299999237060547,24402,20.675500011444093,19.724399871826172,1,0.7000007629394531
2025-12-16,20.950000762939453,21.450000762939453,20.850000381469727,21.299999237060547,17580,20.742000007629393,19.76339988708496,1,0.10000038146972656
2025-12-17,21.0,21.399999618530273,20.850000381469727,21.0,10691,20.83100004196167,19.803799896240236,1,0.049999237060546875
2025-12-18,21.0,21.299999237060547,21.0,21.0,10752,20.920000076293945,19.84419990539551,1,0.0
2025-12-19,21.049999237060547,21.450000762939453,20.850000381469727,21.0,4353,20.972500038146972,19.885199890136718,1,0.049999237060546875
2025-12-22,21.0,21.149999618530273,20.200000762939453,21.049999237060547,8646,20.92250003814697,19.925599899291992,1,-0.049999237060546875
2025-12-23,20.950000762939453,21.0,20.450000762939453,20.700000762939453,9868,20.92750005722046,19.963399925231933,1,-0.049999237060546875
2025-12-29,21.25,21.899999618530273,20.5,20.950000762939453,30917,20.930000019073486,20.015199928283693,1,0.2999992370605469
2025-12-30,21.0,21.350000381469727,20.049999237060547,20.899999618530273,27261,20.89000005722046,20.057199935913086,1,-0.25
2026-01-02,20.899999618530273,21.200000762939453,20.350000381469727,20.649999618530273,8789,20.880000019073485,20.102399940490724,1,-0.10000038146972656
2026-01-05,20.950000762939453,21.450000762939453,20.700000762939453,20.899999618530273,12505,20.825000095367432,20.141399955749513,1,0.05000114440917969
2026-01-07,21.75,22.0,21.200000762939453,21.399999618530273,37158,20.807500076293945,20.196399955749513,1,0.7999992370605469
2026-01-08,21.600000381469727,21.950000762939453,21.0,21.950000762939453,5843,20.817500114440918,20.24719997406006,1,-0.14999961853027344
2026-01-09,21.399999618530273,22.450000762939453,20.549999237060547,21.649999618530273,34468,20.822500133514403,20.29599998474121,1,-0.20000076293945312
2026-01-12,21.399999618530273,21.5,21.149999618530273,21.399999618530273,7720,20.857500076293945,20.343999977111817,1,0.0
2026-01-13,21.649999618530273,22.200000762939453,21.049999237060547,21.149999618530273,11636,20.930000019073486,20.396999969482422,1,0.25
2026-01-14,21.649999618530273,21.950000762939453,21.200000762939453,21.950000762939453,1858,21.032499980926513,20.449999961853027,1,0.0
2026-01-15,21.799999237060547,22.0,21.149999618530273,21.450000762939453,12958,21.12249994277954,20.506799964904786,1,0.14999961853027344
2026-01-16,22.450000762939453,22.5,21.5,21.799999237060547,18410,21.2375,20.572599983215333,1,0.6500015258789062
2026-01-19,21.799999237060547,22.399999618530273,21.600000381469727,21.950000762939453,6195,21.319999980926514,20.626599960327148,1,-0.6500015258789062
2026-01-20,21.700000762939453,21.799999237060547,21.049999237060547,21.799999237060547,4964,21.3625,20.677399978637695,1,-0.09999847412109375
2026-01-21,21.600000381469727,21.700000762939453,21.200000762939453,21.700000762939453,1965,21.394999980926514,20.72819999694824,1,-0.10000038146972656
2026-01-22,21.899999618530273,22.049999237060547,21.399999618530273,21.399999618530273,4621,21.439999961853026,20.774599990844727,1,0.2999992370605469
2026-01-23,22.299999237060547,22.649999618530273,21.799999237060547,21.799999237060547,17387,21.504999923706055,20.838999977111815,1,0.39999961853027344
2026-01-26,22.0,22.75,21.299999237060547,22.299999237060547,28309,21.552499961853027,20.895399971008302,1,-0.2999992370605469
2026-01-27,21.700000762939453,22.5,21.700000762939453,22.25,5895,21.5875,20.94779998779297,1,-0.2999992370605469
2026-01-28,21.5,22.200000762939453,21.350000381469727,22.149999618530273,9036,21.614999961853027,20.998600006103516,1,-0.20000076293945312
2026-01-29,22.350000381469727,22.399999618530273,21.350000381469727,21.350000381469727,9714,21.669999980926512,21.06560001373291,1,0.8500003814697266
2026-01-30,22.600000381469727,22.600000381469727,21.399999618530273,22.299999237060547,22981,21.75,21.136400032043458,1,0.25
2026-02-02,22.049999237060547,22.700000762939453,21.899999618530273,22.700000762939453,11686,21.807499980926515,21.194200019836426,1,-0.5500011444091797
2026-02-03,21.950000762939453,22.399999618530273,21.549999237060547,21.950000762939453,8201,21.857499980926512,21.214200019836426,1,-0.09999847412109375
2026-02-04,22.0,22.0,21.5,21.700000762939453,7529,21.869999980926515,21.261800003051757,1,0.049999237060546875
2026-02-05,21.899999618530273,22.0,21.350000381469727,22.0,8037,21.88499994277954,21.315400009155272,1,-0.10000038146972656
2026-02-06,21.799999237060547,21.899999618530273,21.350000381469727,21.899999618530273,4901,21.904999923706054,21.367000007629393,1,-0.10000038146972656
2026-02-09,21.899999618530273,21.899999618530273,21.450000762939453,21.899999618530273,1852,21.929999923706056,21.405,1,0.10000038146972656
2026-02-10,21.850000381469727,21.899999618530273,21.700000762939453,21.899999618530273,1800,21.939999961853026,21.402000007629393,1,-0.049999237060546875
2026-02-11,21.799999237060547,21.850000381469727,21.549999237060547,21.850000381469727,2971,21.94749994277954,21.42099998474121,1,-0.05000114440917969
2026-02-12,21.5,22.0,21.399999618530273,21.799999237060547,4503,21.932499980926515,21.426999969482424,1,-0.2999992370605469
2026-02-13,21.899999618530273,22.0,20.950000762939453,21.5,19052,21.904999923706054,21.428999977111815,1,0.39999961853027344
2026-02-16,21.799999237060547,21.799999237060547,21.5,21.5,1444,21.904999923706054,21.442999954223634,1,-0.10000038146972656
2026-02-17,21.799999237060547,21.799999237060547,21.299999237060547,21.5,2491,21.90999984741211,21.43799995422363,1,0.0
2026-02-18,21.5,21.75,21.399999618530273,21.75,1295,21.904999828338624,21.42599994659424,1,-0.2999992370605469
2026-02-19,21.25,21.75,21.0,21.200000762939453,9614,21.872499847412108,21.422999954223634,1,-0.25
2026-02-20,21.0,21.5,20.75,21.049999237060547,3261,21.807499885559082,21.416999969482422,1,-0.25
2026-02-23,21.25,21.399999618530273,20.649999618530273,20.799999237060547,2646,21.76999988555908,21.427999954223633,1,0.25
2026-02-24,21.0,21.200000762939453,20.700000762939453,20.700000762939453,2697,21.73499984741211,21.443999938964843,1,-0.25
2026-02-25,21.0,21.149999618530273,20.799999237060547,21.0,1800,21.70999984741211,21.47199993133545,1,0.0
2026-02-26,20.5,21.0,20.0,20.75,8510,21.617499828338623,21.481999931335448,1,-0.5
2026-02-27,20.950000762939453,21.649999618530273,20.299999237060547,20.299999237060547,13440,21.53499984741211,21.497999954223634,1,0.4500007629394531
2026-03-02,20.850000381469727,21.0,20.299999237060547,21.0,5171,21.47499990463257,21.51199996948242,0,-0.10000038146972656
2026-03-03,20.149999618530273,20.600000381469727,19.700000762939453,20.600000381469727,39206,21.38499984741211,21.497999954223634,0,0.0
2026-03-04,19.799999237060547,20.149999618530273,19.600000381469727,20.100000381469727,19518,21.274999809265136,21.474999923706054,0,0.0
2026-03-05,19.799999237060547,20.25,19.600000381469727,19.600000381469727,6942,21.16999979019165,21.450999908447265,0,0.0
2026-03-06,19.860000610351562,20.149999618530273,19.600000381469727,20.0,10262,21.0729998588562,21.428199920654297,0,0.0
2026-03-09,19.5,19.899999618530273,19.5,19.899999618530273,8118,20.952999877929688,21.397199935913086,0,0.0
2026-03-10,19.5,19.959999084472656,19.280000686645508,19.799999237060547,13760,20.835499858856203,21.367199935913085,0,0.0
2026-03-11,19.68000030517578,19.940000534057617,19.31999969482422,19.600000381469727,6624,20.729499912261964,21.341799926757812,0,0.0
2026-03-12,19.5,19.920000076293945,19.440000534057617,19.700000762939453,17101,20.629499912261963,21.30679992675781,0,0.0
2026-03-13,19.440000534057617,19.899999618530273,19.280000686645508,19.700000762939453,8927,20.50649995803833,21.275599937438965,0,0.0
2026-03-16,19.360000610351562,19.899999618530273,19.360000610351562,19.459999084472656,5234,20.38450002670288,21.24479995727539,0,0.0
2026-03-17,19.079999923706055,19.68000030517578,19.079999923706055,19.440000534057617,14366,20.248500061035156,21.207399940490724,0,0.0
2026-03-18,19.200000762939453,19.360000610351562,18.899999618530273,19.100000381469727,78160,20.13350009918213,21.15639995574951,0,0.0
2026-03-19,19.100000381469727,19.5,19.040000915527344,19.200000762939453,10976,20.026000118255617,21.106399955749513,0,0.0
2026-03-20,19.040000915527344,19.399999618530273,19.0,19.399999618530273,16014,19.92800016403198,21.059199981689453,0,0.0
2026-03-23,18.639999389648438,19.100000381469727,18.600000381469727,19.100000381469727,42499,19.797500133514404,21.003999977111818,0,0.0
2026-03-24,18.860000610351562,19.0,18.6200008392334,18.639999389648438,13510,19.69050016403198,20.948199996948244,0,0.0
2026-03-25,19.299999237060547,19.459999084472656,18.920000076293945,18.920000076293945,6528,19.60550012588501,20.901199989318847,0,0.0
2026-03-26,19.079999923706055,19.5,19.079999923706055,19.399999618530273,1232,19.534500122070312,20.846800003051758,0,0.0
2026-03-27,19.020000457763672,19.100000381469727,19.0,19.020000457763672,14707,19.438000106811522,20.778199996948242,0,0.0
2026-03-30,19.200000762939453,19.280000686645508,18.860000610351562,19.020000457763672,11706,19.35550012588501,20.726200027465822,0,0.0
2026-03-31,19.0,19.280000686645508,18.81999969482422,19.280000686645508,7507,19.298000144958497,20.672200012207032,0,0.0
2026-04-01,19.0,19.280000686645508,18.899999618530273,19.280000686645508,5324,19.25800018310547,20.620200004577637,0,0.0
2026-04-02,19.100000381469727,19.139999389648438,19.0,19.040000915527344,8905,19.223000240325927,20.564200019836427,0,0.0
2026-04-07,18.940000534057617,19.200000762939453,18.899999618530273,19.0,23560,19.17700023651123,20.497000045776367,0,0.0
2026-04-08,19.020000457763672,19.260000228881836,18.979999542236328,18.979999542236328,4295,19.153000259399413,20.43740005493164,0,0.0
2026-04-09,18.940000534057617,19.260000228881836,18.940000534057617,19.020000457763672,4850,19.125000286102296,20.382200050354005,0,0.0
2026-04-10,19.68000030517578,21.200000762939453,19.040000915527344,19.040000915527344,26622,19.125000286102296,20.34580005645752,0,0.0
2026-04-13,19.200000762939453,19.799999237060547,19.0,19.799999237060547,13722,19.110000324249267,20.282800064086913,0,0.0
2026-04-14,20.149999618530273,21.100000381469727,19.15999984741211,19.299999237060547,40083,19.145500278472902,20.233800048828126,0,0.0
2026-04-15,19.799999237060547,20.450000762939453,19.65999984741211,20.450000762939453,6388,19.16750020980835,20.188800048828124,0,0.0
2026-04-16,19.860000610351562,20.25,19.68000030517578,19.760000228881836,1767,19.206500244140624,20.147000045776366,0,0.0
2026-04-17,19.459999084472656,19.899999618530273,19.360000610351562,19.860000610351562,9663,19.219500160217287,20.09620002746582,0,0.0
2026-04-20,19.799999237060547,21.0,19.399999618530273,20.0,24557,19.254500102996825,20.054200019836426,0,0.0
2026-04-21,19.719999313354492,20.0,19.5,19.799999237060547,4315,19.288500022888183,20.012600021362303,0,0.0
2026-04-22,19.639999389648438,19.940000534057617,19.440000534057617,19.520000457763672,5564,19.338500022888184,19.96740001678467,0,0.0
2026-04-23,19.6200008392334,19.719999313354492,19.520000457763672,19.520000457763672,1918,19.376500034332274,19.922800025939942,0,0.0
2026-04-24,19.600000381469727,19.719999313354492,19.600000381469727,19.639999389648438,4559,19.391500091552736,19.878800048828126,0,0.0
2026-04-27,19.700000762939453,19.860000610351562,19.559999465942383,19.860000610351562,1324,19.422500133514404,19.842800064086916,0,0.0
2026-04-28,19.68000030517578,19.81999969482422,19.540000915527344,19.81999969482422,1558,19.45550012588501,19.798400077819824,0,0.0
2026-04-29,19.700000762939453,19.84000015258789,19.540000915527344,19.81999969482422,1235,19.48050012588501,19.756400108337402,0,0.0
2026-04-30,20.0,20.100000381469727,19.579999923706055,19.579999923706055,4805,19.53050012588501,19.720400123596193,0,0.0
2026-05-04,19.979999542236328,20.450000762939453,19.540000915527344,20.0,37471,19.579500102996825,19.690000114440917,0,0.0
2026-05-05,19.799999237060547,19.979999542236328,19.540000915527344,19.739999771118164,5713,19.614500045776367,19.66100009918213,0,0.0
2026-05-06,19.700000762939453,19.899999618530273,19.600000381469727,19.860000610351562,3452,19.652500057220458,19.635000114440917,1,0.0
2026-05-07,19.780000686645508,19.799999237060547,19.600000381469727,19.700000762939453,2363,19.69050006866455,19.60560012817383,1,0.07999992370605469
2026-05-08,19.700000762939453,19.780000686645508,19.459999084472656,19.780000686645508,2924,19.728500080108642,19.579600143432618,1,-0.07999992370605469
2026-05-11,20.0,20.200000762939453,19.639999389648438,19.799999237060547,34514,19.744500064849852,19.55960014343262,1,0.2999992370605469
2026-05-12,19.65999984741211,20.200000762939453,19.6200008392334,20.0,22058,19.767500019073488,19.54280014038086,1,-0.3400001525878906
2026-05-13,19.639999389648438,19.959999084472656,19.540000915527344,19.959999084472656,11027,19.742000007629393,19.51660011291504,1,-0.020000457763671875
2026-05-14,19.760000228881836,19.760000228881836,19.540000915527344,19.639999389648438,3854,19.74000005722046,19.49480010986328,1,0.12000083923339844
2026-05-15,19.68000030517578,19.8799991607666,19.600000381469727,19.600000381469727,4891,19.73100004196167,19.485400123596193,1,-0.07999992370605469
2026-05-18,19.559999465942383,19.780000686645508,19.520000457763672,19.639999389648438,3635,19.736000061035156,19.48060012817383,1,-0.12000083923339844
2026-05-19,19.559999465942383,19.719999313354492,19.399999618530273,19.540000915527344,3650,19.72400007247925,19.475800132751466,1,0.0
2026-05-20,19.459999084472656,19.6200008392334,19.1200008392334,19.6200008392334,9308,19.711000061035158,19.467800102233888,1,-0.10000038146972656
2026-05-21,19.360000610351562,19.600000381469727,19.260000228881836,19.459999084472656,1852,19.697000122070314,19.46500011444092,1,-0.09999847412109375
2026-05-22,19.3799991607666,19.399999618530273,19.219999313354492,19.360000610351562,11079,19.685000038146974,19.46260009765625,1,0.019998550415039062
2026-05-25,19.239999771118164,19.579999923706055,19.200000762939453,19.299999237060547,6636,19.667000007629394,19.453800086975097,1,-0.1399993896484375
2026-05-26,19.3799991607666,19.399999618530273,19.18000030517578,19.399999618530273,1545,19.65099992752075,19.45140007019043,1,0.1399993896484375
2026-05-27,19.299999237060547,19.399999618530273,19.18000030517578,19.399999618530273,5610,19.63199987411499,19.448600044250487,1,-0.07999992370605469
2026-05-28,19.280000686645508,19.299999237060547,19.040000915527344,19.18000030517578,6193,19.610999870300294,19.447000045776367,1,-0.019998550415039062
2026-05-29,19.280000686645508,19.280000686645508,19.059999465942383,19.1200008392334,5828,19.57499990463257,19.451000061035156,1,0.0
2026-06-01,19.139999389648438,19.3799991607666,19.079999923706055,19.3799991607666,15211,19.532999897003172,19.449800033569336,1,-0.1400012969970703
2026-06-02,19.260000228881836,19.360000610351562,19.260000228881836,19.260000228881836,6237,19.505999946594237,19.45300003051758,1,0.12000083923339844
2026-06-03,19.219999313354492,19.459999084472656,19.219999313354492,19.459999084472656,3741,19.48199987411499,19.456599998474122,1,-0.04000091552734375
2026-06-05,19.520000457763672,19.8799991607666,19.200000762939453,19.200000762939453,15794,19.4689998626709,19.474200019836427,0,0.3000011444091797
2026-06-08,19.3799991607666,19.579999923706055,19.15999984741211,19.5,5217,19.452999782562255,19.48459999084473,0,0.0
2026-06-09,19.200000762939453,19.3799991607666,19.200000762939453,19.3799991607666,5084,19.412999820709228,19.482600021362305,0,0.0
2026-06-10,19.360000610351562,19.360000610351562,19.15999984741211,19.15999984741211,1572,19.397999858856203,19.488200035095215,0,0.0
2026-06-11,19.280000686645508,19.440000534057617,19.15999984741211,19.15999984741211,3509,19.379999923706055,19.493400039672853,0,0.0
2026-06-12,19.280000686645508,19.299999237060547,19.15999984741211,19.299999237060547,4218,19.35599994659424,19.495000038146973,0,0.0
